Date,First_Estimate,Days_between_estimate,EstimatedEffort,Total_Hours,Effort_over_Estimate,Parent_Team,Team_Name,Region
2017-05-22,2017-05-25,3,8.0,1.0,12,Systems Engineering,Warp Engines,US & Canada
2017-05-23,2017-07-28,66,8.0,12.000000014901161,150,Systems Engineering,Transporters,US & Canada
2017-05-24,2017-07-27,64,40.0,6.5,16,Support Engineering,Transporters,US & Canada
2017-05-24,2017-05-25,1,8.0,78.0,975,Systems Engineering,Tricorders,US & Canada
2017-05-25,2017-05-26,1,8.0,17.0,212,Systems Engineering,Transporters,US & Canada
2017-05-25,2017-06-06,12,7.0,5.5,78,Support Engineering,Warp Engines,US & Canada
2017-05-25,2017-05-30,5,2.0,3.0,150,Systems Engineering,Tricorders,US & Canada
2017-05-25,2017-05-26,1,4.0,9.0,225,R&D,Photon Torpedos,Colombia
2017-05-26,2017-05-31,5,8.0,6.5,81,Systems Engineering,Transporters,US & Canada
2017-05-30,2017-05-30,0,48.0,60.00000138580799,125,Systems Engineering,Tricorders,US & Canada
2017-05-30,2017-07-11,42,42.0,51.0,121,Support Engineering,Transporters,US & Canada
2017-05-30,2017-07-27,58,55.0,106.0,192,Systems Engineering,Tricorders,US & Canada
2017-05-30,2017-09-21,114,8.0,12.5,156,Systems Engineering,Transporters,US & Canada
2017-05-30,2017-05-31,1,4.0,1.5,37,Support Engineering,Warp Engines,US & Canada
2017-05-31,2017-06-02,2,1.0,0.8000000119209291,80,Support Engineering,Warp Engines,US & Canada
2017-05-31,2017-07-27,57,1.0,2.0,200,Support Engineering,Transporters,US & Canada
2017-06-01,2017-06-02,1,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-06-01,2017-06-09,8,38.0,6.0,15,Support Engineering,Warp Engines,US & Canada
2017-06-01,2017-06-01,0,70.0,73.89999875426292,105,Systems Engineering,Transporters,US & Canada
2017-06-01,2017-06-07,6,7.0,8.0,114,Support Engineering,Warp Engines,US & Canada
2017-06-01,2017-06-02,1,8.0,19.0,237,R&D,Photon Torpedos,Brazil
2017-06-01,2017-06-06,5,8.0,22.0,275,Systems Engineering,Warp Engines,US & Canada
2017-06-02,2017-06-21,19,8.0,6.5,81,Systems Engineering,Transporters,US & Canada
2017-06-02,2017-06-26,24,6.0,4.5,75,Support Engineering,Warp Engines,US & Canada
